OrderItemId,OrderId,ItemId,ItemPrice
1-01,1,16,29
1-02,1,15,56
1-03,1,7,9
1-04,1,20,12
1-05,1,1,109
1-06,1,8,10
1-07,1,18,9
1-08,1,19,7
1-09,1,2,22
2-01,2,17,39
2-02,2,1,109
3-01,3,17,39
3-02,3,10,109
3-03,3,16,29
3-04,3,5,695
3-05,3,9,64
4-01,4,8,10
4-02,4,20,12
4-03,4,10,109
4-04,4,2,22
4-05,4,17,39
4-06,4,7,9
4-07,4,13,599
5-01,5,1,109
6-01,6,10,109
6-02,6,3,55
6-03,6,5,695
6-04,6,14,999
6-05,6,18,9
7-01,7,11,109
7-02,7,13,599
7-03,7,10,109
7-04,7,20,12
7-05,7,17,39
7-06,7,6,168
8-01,8,11,109
8-02,8,20,12
8-03,8,3,55
9-01,9,7,9
9-02,9,5,695
9-03,9,4,15
9-04,9,19,7
9-05,9,1,109
9-06,9,10,109
9-07,9,14,999
9-08,9,11,109
9-09,9,17,39
10-01,10,11,109
10-02,10,4,15
10-03,10,8,10
10-04,10,19,7
10-05,10,13,599
10-06,10,18,9
11-01,11,5,695
11-02,11,13,599
11-03,11,19,7
11-04,11,17,39
11-05,11,9,64
11-06,11,20,12
11-07,11,3,55
12-01,12,1,109
12-02,12,10,109
13-01,13,19,7
13-02,13,3,55
14-01,14,7,9
14-02,14,8,10
14-03,14,11,109
14-04,14,17,39
14-05,14,12,114
14-06,14,16,29
14-07,14,6,168
14-08,14,10,109
14-09,14,5,695
14-10,14,3,55
15-01,15,11,109
15-02,15,5,695
15-03,15,1,109
16-01,16,13,599
17-01,17,9,64
17-02,17,18,9
17-03,17,1,109
17-04,17,10,109
17-05,17,19,7
17-06,17,11,109
17-07,17,6,168
18-01,18,9,64
18-02,18,1,109
18-03,18,12,114
18-04,18,3,55
18-05,18,15,56
18-06,18,16,29
18-07,18,2,22
19-01,19,20,12
19-02,19,11,109
19-03,19,5,695
19-04,19,9,64
19-05,19,10,109
19-06,19,7,9
20-01,20,14,999
20-02,20,16,29
20-03,20,5,695
20-04,20,7,9
20-05,20,9,64
20-06,20,15,56
20-07,20,10,109
21-01,21,16,29
21-02,21,13,599
21-03,21,11,109
21-04,21,12,114
21-05,21,17,39
21-06,21,1,109
22-01,22,3,55
22-02,22,16,29
22-03,22,2,22
22-04,22,18,9
22-05,22,19,7
22-06,22,10,109
22-07,22,14,999
23-01,23,18,9
24-01,24,9,64
24-02,24,12,114
25-01,25,11,109
25-02,25,2,22
25-03,25,4,15
25-04,25,13,599
26-01,26,17,39
26-02,26,6,168
26-03,26,16,29
27-01,27,18,9
27-02,27,6,168
27-03,27,16,29
27-04,27,14,999
27-05,27,13,599
27-06,27,7,9
28-01,28,6,168
28-02,28,7,9
28-03,28,11,109
28-04,28,18,9
28-05,28,1,109
28-06,28,20,12
29-01,29,16,29
29-02,29,8,10
29-03,29,14,999
29-04,29,4,15
29-05,29,11,109
29-06,29,3,55
29-07,29,19,7
29-08,29,15,56
29-09,29,5,695
29-10,29,18,9
30-01,30,16,29
30-02,30,18,9
30-03,30,17,39
30-04,30,9,64
30-05,30,1,109
30-06,30,6,168
30-07,30,10,109
30-08,30,12,114
31-01,31,2,22
31-02,31,11,109
31-03,31,19,7
31-04,31,6,168
32-01,32,15,56
32-02,32,1,109
32-03,32,5,695
32-04,32,16,29
32-05,32,13,599
33-01,33,10,109
33-02,33,7,9
33-03,33,14,999
33-04,33,2,22
34-01,34,18,9
34-02,34,19,7
34-03,34,6,168
34-04,34,5,695
34-05,34,3,55
34-06,34,16,29
35-01,35,13,599
35-02,35,1,109
35-03,35,19,7
35-04,35,11,109
35-05,35,3,55
35-06,35,16,29
35-07,35,15,56
35-08,35,12,114
35-09,35,2,22
35-10,35,5,695
36-01,36,15,56
36-02,36,4,15
36-03,36,13,599
36-04,36,20,12
37-01,37,11,109
37-02,37,1,109
37-03,37,7,9
37-04,37,2,22
37-05,37,17,39
37-06,37,13,599
38-01,38,13,599
38-02,38,6,168
38-03,38,7,9
38-04,38,3,55
38-05,38,1,109
38-06,38,18,9
38-07,38,4,15
38-08,38,8,10
38-09,38,9,64
39-01,39,15,56
39-02,39,13,599
39-03,39,18,9
39-04,39,10,109
39-05,39,5,695
39-06,39,12,114
39-07,39,8,10
39-08,39,3,55
39-09,39,19,7
39-10,39,4,15
40-01,40,15,56
40-02,40,4,15
40-03,40,20,12
40-04,40,16,29
40-05,40,13,599
41-01,41,1,109
41-02,41,14,999
41-03,41,9,64
41-04,41,15,56
41-05,41,4,15
41-06,41,7,9
41-07,41,19,7
41-08,41,2,22
41-09,41,12,114
41-10,41,10,109
42-01,42,6,168
42-02,42,13,599
42-03,42,1,109
42-04,42,9,64
42-05,42,18,9
42-06,42,10,109
42-07,42,17,39
42-08,42,4,15
42-09,42,16,29
42-10,42,12,114
43-01,43,17,39
43-02,43,11,109
43-03,43,3,55
43-04,43,20,12
43-05,43,4,15
44-01,44,7,9
44-02,44,17,39
44-03,44,15,56
44-04,44,1,109
45-01,45,4,15
45-02,45,16,29
45-03,45,12,114
45-04,45,5,695
45-05,45,10,109
46-01,46,4,15
46-02,46,1,109
47-01,47,18,9
47-02,47,20,12
47-03,47,12,114
47-04,47,3,55
47-05,47,9,64
47-06,47,7,9
